old_name,input_directory,new_name_1_component,new_name_2_components,new_name_3_components
wf_ollama_moondream_narrative_20251009_235900,\\ford\home\Photos\MobileBackup\iPhone\2021\09,wf_09_ollama_moondream_narrative_20251009_235900,wf_2021_09_ollama_moondream_narrative_20251009_235900,wf_iphone_2021_09_ollama_moondream_narrative_20251009_235900
wf_ollama_moondream_narrative_20251010_000118,C:\Users\kelly\OneDrive\personal\Pictures\iphone,wf_iphone_ollama_moondream_narrative_20251010_000118,wf_pictures_iphone_ollama_moondream_narrative_20251010_000118,wf_personal_pictures_iphone_ollama_moondream_narrative_20251010_000118
wf_ollama_moondream_narrative_20251010_162845,C:\users\kelly\github\testimages,wf_testimages_ollama_moondream_narrative_20251010_162845,wf_github_testimages_ollama_moondream_narrative_20251010_162845,wf_kelly_github_testimages_ollama_moondream_narrative_20251010_162845
wf_ollama_moondream_narrative_20251010_162917,C:\users\kelly\github\testimages,wf_testimages_ollama_moondream_narrative_20251010_162917,wf_github_testimages_ollama_moondream_narrative_20251010_162917,wf_kelly_github_testimages_ollama_moondream_narrative_20251010_162917
wf_ollama_moondream_narrative_20251010_163412,C:\users\kelly\github\testimages,wf_testimages_ollama_moondream_narrative_20251010_163412,wf_github_testimages_ollama_moondream_narrative_20251010_163412,wf_kelly_github_testimages_ollama_moondream_narrative_20251010_163412
wf_ollama_moondream_narrative_20251010_163828,C:\Users\kelly\GitHub\idt\test_video,wf_test_video_ollama_moondream_narrative_20251010_163828,wf_idt_test_video_ollama_moondream_narrative_20251010_163828,wf_github_idt_test_video_ollama_moondream_narrative_20251010_163828
wf_ollama_moondream_technical_20251009_170738,C:\Users\kelly\GitHub\idt\test_images,wf_test_images_ollama_moondream_technical_20251009_170738,wf_idt_test_images_ollama_moondream_technical_20251009_170738,wf_github_idt_test_images_ollama_moondream_technical_20251009_170738
wf_ollama_qwen2.5vl_colorful_20251009_204922,C:\Users\kelly\GitHub\idt\test_output,wf_test_output_ollama_qwen2.5vl_colorful_20251009_204922,wf_idt_test_output_ollama_qwen2.5vl_colorful_20251009_204922,wf_github_idt_test_output_ollama_qwen2.5vl_colorful_20251009_204922
wf_ollama_qwen2.5vl_detailed_20251009_162724,C:\idt\testimages,wf_testimages_ollama_qwen2.5vl_detailed_20251009_162724,wf_idt_testimages_ollama_qwen2.5vl_detailed_20251009_162724,wf_c_idt_testimages_ollama_qwen2.5vl_detailed_20251009_162724
wf_ollama_qwen2.5vl_latest_detailed_20251009_194435,C:\idt\testimages,wf_testimages_ollama_qwen2.5vl_latest_detailed_20251009_194435,wf_idt_testimages_ollama_qwen2.5vl_latest_detailed_20251009_194435,wf_c_idt_testimages_ollama_qwen2.5vl_latest_detailed_20251009_194435
wf_ollama_qwen2.5vl_latest_narrative_20251010_205819,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_ollama_qwen2.5vl_latest_narrative_20251010_205819,wf_idtexternal_testimages_ollama_qwen2.5vl_latest_narrative_20251010_205819,wf_idt_idtexternal_testimages_ollama_qwen2.5vl_latest_narrative_20251010_205819
wf_ollama_qwen2.5vl_latest_narrative_20251010_231557,\\ford\home\photos\MobileBackup\iPhone\2025\09,wf_09_ollama_qwen2.5vl_latest_narrative_20251010_231557,wf_2025_09_ollama_qwen2.5vl_latest_narrative_20251010_231557,wf_iphone_2025_09_ollama_qwen2.5vl_latest_narrative_20251010_231557
